Region,Year ,Month,Price
Boyle Heights,2014,9,302300
Central City,2014,9,289900
Century City,2014,9,853500
Crenshaw,2014,9,383800
Downtown,2014,9,573800
Eagle Rock,2014,9,559600
Echo Park,2014,9,551400
Harbor City,2014,9,289500
Highland Park,2014,9,496500
Hollywood,2014,9,597700
Hyde Park,2014,9,326300
Jefferson Park,2014,9,383400
Koreatown,2014,9,488800
Los Feliz,2014,9,847100
Mid City,2014,9,529700
Mid Wilshire,2014,9,633200
Palms,2014,9,647900
Pico-Union,2014,9,371700
Sawtelle,2014,9,628700
Silver Lake,2014,9,708800
Southeast Los Angeles,2014,9,263100
West Adams,2014,9,407800
Westwood,2014,9,755400
Bel Air,2014,11,1709500
Boyle Heights,2014,11,304700
Central City,2014,11,296800
Century City,2014,11,848300
Crenshaw,2014,11,392200
Downtown,2014,11,581600
Eagle Rock,2014,11,566000
Echo Park,2014,11,551700
Harbor City,2014,11,296000
Highland Park,2014,11,505200
Hollywood,2014,11,605800
Hyde Park,2014,11,327500
Jefferson Park,2014,11,393100
Koreatown,2014,11,491200
Los Feliz,2014,11,860700
Mid City,2014,11,535500
Mid Wilshire,2014,11,633600
Palms,2014,11,652700
Pico-Union,2014,11,373900
Sawtelle,2014,11,635700
Silver Lake,2014,11,710200
Southeast Los Angeles,2014,11,265600
West Adams,2014,11,414600
Westwood,2014,11,757700
Bel Air,2015,1,1744500
Boyle Heights,2015,1,309200
Central City,2015,1,299800
Century City,2015,1,840800
Crenshaw,2015,1,392800
Downtown,2015,1,580800
Eagle Rock,2015,1,574200
Echo Park,2015,1,561400
Harbor City,2015,1,295900
Highland Park,2015,1,510400
Hollywood,2015,1,612900
Hyde Park,2015,1,333400
Jefferson Park,2015,1,398500
Koreatown,2015,1,494700
Los Feliz,2015,1,877600
Mid City,2015,1,545300
Mid Wilshire,2015,1,634100
Palms,2015,1,661700
Pico-Union,2015,1,372100
Sawtelle,2015,1,644500
Silver Lake,2015,1,719000
Southeast Los Angeles,2015,1,267100
West Adams,2015,1,421600
Westwood,2015,1,760600
Bel Air,2015,3,1752400
Boyle Heights,2015,3,312600
Central City,2015,3,306200
Century City,2015,3,836200
Crenshaw,2015,3,398000
Downtown,2015,3,586500
Eagle Rock,2015,3,588400
Echo Park,2015,3,572400
Harbor City,2015,3,298300
Highland Park,2015,3,522900
Hollywood,2015,3,625300
Hyde Park,2015,3,342000
Jefferson Park,2015,3,410900
Koreatown,2015,3,500700
Los Feliz,2015,3,899000
Mid City,2015,3,553500
Mid Wilshire,2015,3,661300
Palms,2015,3,679200
Pico-Union,2015,3,380900
Sawtelle,2015,3,663100
Silver Lake,2015,3,745000
Southeast Los Angeles,2015,3,272800
West Adams,2015,3,441300
Westwood,2015,3,767200
