Region,Year ,Month,Price
Southeast Los Angeles,2009,7,178500
West Adams,2009,7,280000
Westwood,2009,7,639000
Bel Air,2009,9,1215000
Boyle Heights,2009,9,209600
Central City,2009,9,203400
Century City,2009,9,695000
Crenshaw,2009,9,310900
Downtown,2009,9,447200
Eagle Rock,2009,9,406600
Echo Park,2009,9,404700
Harbor City,2009,9,277500
Highland Park,2009,9,325300
Hollywood,2009,9,477800
Hyde Park,2009,9,229100
Jefferson Park,2009,9,274700
Koreatown,2009,9,382200
Los Feliz,2009,9,695500
Mid City,2009,9,412700
Mid Wilshire,2009,9,529400
Palms,2009,9,513700
Pico-Union,2009,9,311300
Sawtelle,2009,9,567500
Silver Lake,2009,9,578900
Southeast Los Angeles,2009,9,169400
West Adams,2009,9,273600
Westwood,2009,9,641600
Bel Air,2009,11,1181500
Boyle Heights,2009,11,201900
Central City,2009,11,199800
Century City,2009,11,686800
Crenshaw,2009,11,312500
Downtown,2009,11,429500
Eagle Rock,2009,11,402700
Echo Park,2009,11,407600
Harbor City,2009,11,272000
Highland Park,2009,11,327100
Hollywood,2009,11,473100
Hyde Park,2009,11,222800
Jefferson Park,2009,11,276600
Koreatown,2009,11,383200
Los Feliz,2009,11,696300
Mid City,2009,11,408600
Mid Wilshire,2009,11,533800
Palms,2009,11,516300
Pico-Union,2009,11,315100
Sawtelle,2009,11,573700
Silver Lake,2009,11,579800
Southeast Los Angeles,2009,11,160900
West Adams,2009,11,274800
Westwood,2009,11,652100
Bel Air,2010,1,1172500
Boyle Heights,2010,1,202300
Central City,2010,1,194100
Century City,2010,1,698200
Crenshaw,2010,1,313800
Downtown,2010,1,417300
Eagle Rock,2010,1,408100
Echo Park,2010,1,392800
Harbor City,2010,1,268400
Highland Park,2010,1,329400
Hollywood,2010,1,467300
Hyde Park,2010,1,220400
Jefferson Park,2010,1,275700
Koreatown,2010,1,372100
Los Feliz,2010,1,698400
Mid City,2010,1,401400
Mid Wilshire,2010,1,534900
Palms,2010,1,531400
Pico-Union,2010,1,307700
